false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,1,Logitech Pebble 2 M350s,106.7,58.7,26.6,76.0,Symmetrical,Back - aggressive,Flat,Flat,Ambidextrous,No,No,Plastic,Wireless,-,-,Centered (48%),4000,125,-,-,0,0
false,2,Logitech Pebble M350,106.7,58.7,26.6,100.0,Symmetrical,Back - aggressive,Flat,Flat,Ambidextrous,No,No,Plastic,Wireless,-,-,Centered (48%),4000,125,-,-,0,0
false,1,Logitech M340,106.7,58.7,26.6,80.8,Symmetrical,Back - aggressive,Flat,Flat,Ambidextrous,No,No,Plastic,Wireless,-,-,Centered (48%),4000,125,-,-,0,0
false,1,Logitech M550 L,118.7,66.2,42.0,111.1,Symmetrical,Back - minimal,Outward - moderate,Flat,Ambidextrous,No,No,Plastic,Wireless,Logitech Advanced Optical Tracking,Optical,Centered (48%),4000,125,-,-,0,0
false,1,Logitech M550,108.2,61.0,38.8,97.4,Symmetrical,Back - minimal,Outward - moderate,Flat,Ambidextrous,No,No,Plastic,Wireless,Logitech Advanced Optical Tracking,Optical,Centered (48%),4000,125,-,-,0,0
false,2,Logitech M650 L Left,118.7,66.2,42.0,115.4,Symmetrical,Back - minimal,Outward - moderate,Flat,Left,No,No,Plastic,Wireless,Logitech Advanced Optical Tracking,Optical,Centered (48%),4000,125,-,-,2,0
false,2,Logitech M650 L,118.7,66.2,42.0,115.4,Symmetrical,Back - minimal,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,Logitech Advanced Optical Tracking,Optical,Centered (48%),4000,125,-,-,2,0
false,2,Logitech M650,108.2,61.0,38.8,101.4,Symmetrical,Back - minimal,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,Logitech Advanced Optical Tracking,Optical,Centered (48%),4000,125,-,-,2,0
false,1,G-Wolves Fenrir Max 8K,75.0,61.0,31.0,22.4,Symmetrical,Back - aggressive,Inward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,-,30000,8000,750,50,2,0
false,1,G-Wolves Fenrir Asym 8K,75.0,63.0,27.0,20.3,Hybrid,Back - aggressive,Inward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,-,30000,8000,750,50,2,0
false,,Teevolution Terra,124.7,68.7,42.6,49.0,Ergonomic,Back - moderate,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (55%),30000,8000,750,50,2,0
false,4,Pulsar Xlite v4 eS,122.0,67.0,43.0,65.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,Pulsar XS-1,Optical,Front - moderate (56%),32000,8000,750,50,2,0
false,1,GravaStar Mercury X Pro,124.6,63.5,40.5,49.0,Symmetrical,Back - minimal,Outward - moderate,Flat,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950,Optical,Centered (50%),32000,8000,750,50,2,0
