false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,2,Mionix Castor Pro,122.5,70.4,40.2,92.0,Ergonomic,Back - minimal,Inward - slight,Inward,Right,No,Yes,Plastic,Wired,PixArt PAW3370,Optical,Front - minimal (55%),19000,1000,400,50,2,1
false,1,Mionix Castor,122.5,70.4,40.2,94.0,Ergonomic,Back - minimal,Inward - slight,Inward,Right,No,Yes,Plastic,Wired,PixArt PMW3310,Optical,Front - minimal (55%),5000,1000,130,30,2,1
false,2,Logitech M171,97.7,61.5,35.2,71.0,Symmetrical,Back - aggressive,Flat,Flat,Ambidextrous,No,No,Plastic,Wireless,-,-,Back - minimal (46%),1000,125,-,-,0,0
false,6,MCHOSE A5 Pro Max,121.6,61.5,37.7,59.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (56%),26000,1000,650,50,2,0
false,6,MCHOSE A5 Pro,121.6,61.5,37.7,59.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (56%),26000,1000,650,50,2,0
false,5,MCHOSE A5,121.6,61.5,37.7,56.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (56%),26000,1000,650,50,2,0
false,5,VGN R1 Pro Max,120.6,64.0,37.8,54.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,4000,650,50,2,0
false,5,VGN R1 Pro,120.6,64.0,37.8,48.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,4000,650,50,2,0
false,3,Razer Naga Trinity,119.0,72.0,43.0,120.0,Ergonomic,Center,Outward - slight,Flat,Right,No,Yes,Plastic,Wired,Razer Razer 5G,Optical,Centered (48%),16000,1000,450,50,12,2
false,4,VGN R1 SE,120.6,64.0,37.8,51.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395 SE,Optical,Centered (50%),18000,2000,650,50,2,0
false,4,VGN R1,120.6,64.0,37.8,51.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,2000,650,50,2,0
false,7,VXE R1 Pro Max,120.6,64.0,37.8,54.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,4000,650,50,2,0
false,7,VXE R1 Pro,120.6,64.0,37.8,48.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,4000,650,50,2,0
false,6,VXE R1 SE,120.6,64.0,37.8,51.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395 SE,Optical,Centered (50%),18000,2000,650,50,2,0
false,6,VXE R1,120.6,64.0,37.8,51.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,2000,650,50,2,0
false,5,Teevolution Helios II Pro,120.0,64.0,38.3,55.0,Symmetrical,Back - moderate,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,4000,650,50,2,0
false,5,Fantech Helios II Pro,120.0,64.0,38.3,55.0,Symmetrical,Back - moderate,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,4000,650,50,2,0
false,2,Logitech G103 Prodigy,116.6,62.2,38.2,85.0,Symmetrical,Back - moderate,Inward - moderate,Flat,Right,No,No,Plastic,Wired,PixArt 1855,Optical,Centered (52%),8000,1000,-,-,2,1
false,2,AJAZZ AJ099,119.0,64.5,38.3,56.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3311,Optical,Front - moderate (58%),12000,1000,300,35,2,0
